Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / Australia,Price / Australia,Compare At Price / Australia,Included / Austria,Price / Austria,Compare At Price / Austria,Included / Belgium,Price / Belgium,Compare At Price / Belgium,Included / Canada,Price / Canada,Compare At Price / Canada,Included / China,Price / China,Compare At Price / China,Included / Denmark,Price / Denmark,Compare At Price / Denmark,Included / France,Price / France,Compare At Price / France,Included / Germany,Price / Germany,Compare At Price / Germany,Included / Hong Kong SAR,Price / Hong Kong SAR,Compare At Price / Hong Kong SAR,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Included / Ireland,Price / Ireland,Compare At Price / Ireland,Included / Israel,Price / Israel,Compare At Price / Israel,Included / Italy,Price / Italy,Compare At Price / Italy,Included / Japan,Price / Japan,Compare At Price / Japan,Included / Lebanon,Price / Lebanon,Compare At Price / Lebanon,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Included / Netherlands,Price / Netherlands,Compare At Price / Netherlands,Included / New Zealand,Price / New Zealand,Compare At Price / New Zealand,Included / Norway,Price / Norway,Compare At Price / Norway,Included / Saudi Arabia,Price / Saudi Arabia,Compare At Price / Saudi Arabia,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / South Korea,Price / South Korea,Compare At Price / South Korea,Included / Spain,Price / Spain,Compare At Price / Spain,Included / Sweden,Price / Sweden,Compare At Price / Sweden,Included / Switzerland,Price / Switzerland,Compare At Price / Switzerland,Included / Taiwan,Price / Taiwan,Compare At Price / Taiwan,Included / United Arab Emirates,Price / United Arab Emirates,Compare At Price / United Arab Emirates,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Status
champion-hoodie,Champion Hoodie,"<p>Released by the American heritage brand, Champion, this eco hooded sweatshirt is ideal for customization. It features Champion’s Double Dry® technology - keeping the wearer warm and toasty. It is a medium-weight two-ply fleece hoodie in a regular fit with a spacious pocket. The hoodie has the iconic ""C"" logo on the left sleeve and is made of up to 5% recycled polyester from plastic bottles.</p>
<p>.: 50% cotton, 50% polyester<br>.: Medium heavy fabric (9 oz /yd² (310 g/m²))<br>.: Regular fit<br>.: Sewn in label<br>.: ""C"" logo on the left sleeve</p>",Printify,,Hoodie,"Crew neck, DTG, Hoodies, Long Sleeves, Men's Clothing, Mother’s Day promotion, Unisex, Women's Clothing",true,Color,Black,Size,S,,,'33527573601190924939,481.987252362,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/39cc012e1b63642882479d7d04cac8f4.jpg?v=1677351811,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/39cc012e1b63642882479d7d04cac8f4.jpg?v=1677351811,lb,,,true,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
champion-hoodie,,,,,,,,,Black,,M,,,'12161074013933268164,484.980962004,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/78d2702f45b29121c1c60a6a6e1b2463.jpg?v=1677351811,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/39cc012e1b63642882479d7d04cac8f4.jpg?v=1677351811,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Black,,L,,,'10513998462232691748,540.999619699,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/76e724ffc5fc923c9c1519057387a4cb.jpg?v=1677351811,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/39cc012e1b63642882479d7d04cac8f4.jpg?v=1677351811,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Black,,XL,,,'30101852569520903152,586.993886017,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/0a3d6c47a3ba990999198ce725611712.jpg?v=1677351811,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/39cc012e1b63642882479d7d04cac8f4.jpg?v=1677351811,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Black,,2XL,,,'99946556970491558027,644.010446926,,deny,printify,85.67,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/5a8174e3cf3a8815b6b723c95cdf8747.jpg?v=1677351811,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/39cc012e1b63642882479d7d04cac8f4.jpg?v=1677351811,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Light Steel,,S,,,'14574209447391300766,481.987252362,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/58ef216f65f4fa2d55c3739dd108005d.jpg?v=1677351817,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/ac15c1d75c7cb98cf44ec165c8a27363.jpg?v=1677351817,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Navy,,S,,,'44170297473069779717,481.987252362,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/561a57bc8951e9397bf680879aa87e22.jpg?v=1677351817,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/26fa3e2e5419fab00b5f227b0cf7c276.jpg?v=1677351833,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Royal Blue,,S,,,'98978538214890386382,481.987252362,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/82d9f65e4fef8b9e5dec49812e0ce604.jpg?v=1677351817,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/01700e7a72188bb91a61d2be4898e7d4.jpg?v=1677351825,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,White,,S,,,'21334440580252319467,481.987252362,,deny,printify,74.13,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/ac15c1d75c7cb98cf44ec165c8a27363.jpg?v=1677351817,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/5a8174e3cf3a8815b6b723c95cdf8747.jpg?v=1677351811,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Light Steel,,M,,,'13984072880561847046,484.980962004,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/1efb0e1b207deb28c39516f645392892.jpg?v=1677351817,10,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/ac15c1d75c7cb98cf44ec165c8a27363.jpg?v=1677351817,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
